Широкая ул. 1-3;2017-08-08;50956276
Конюшенная ул. - Октябрьский бульвар - зап;2017-08-08;50956613
Конюшенная ул. 34-38;2017-08-08;50957119
Оранжерейная ул. 19-29;2017-08-08;50957943
Оранжерейная ул. 13-17;2017-08-08;51046160
Малая ул. 17-27;2017-08-08;51046483
Малая ул. 9-15;2017-08-08;51046821
Малая ул. 1-7;2017-08-08;51047003
Леонтьевская ул. 10;2017-08-08;
Леонтьевская ул. 18;2017-08-08;51047144
Оранжерейная ул. 31-35;2017-08-08;51047306
Оранжерейная ул. 37-39;2017-08-08;51047499
Широкая ул. 2-26;2017-08-08;51047538
Привокзальная пл. 4;2017-08-08;51047622
Привокзальная пл. 2;2017-08-08;51047694
